Longitud,Latitud,Valor
-71.03530,-34.91140,2.10000
-71.58560,-34.95140,1.70000
-70.91780,-34.96330,3.40000
-71.23610,-34.98110,1.80000
-72.01000,-34.98440,1.80000
-70.82060,-34.99610,3.00000
-70.81190,-35.00080,3.40000
-71.29060,-35.04220,1.80000
-71.61390,-35.09690,1.50000
-70.97470,-35.12420,3.60000
-71.09780,-35.18330,3.00000
-72.28330,-35.21830,2.10000
-71.98000,-35.24390,2.10000
-71.32390,-35.25780,1.90000
-71.01560,-35.27440,2.80000
-71.52330,-35.30640,1.80000
-71.09830,-35.31310,3.20000
-72.40890,-35.32420,1.90000
-71.83250,-35.37250,1.60000
-71.78330,-35.40060,1.80000
-72.20830,-35.40690,2.40000
-71.04310,-35.41890,4.70000
-71.66060,-35.41940,1.80000
-71.61970,-35.43580,1.70000
-71.73330,-35.45250,1.60000
-71.29310,-35.48640,2.70000
-71.31830,-35.49250,2.40000
-72.09140,-35.53890,2.20000
-71.08690,-35.59310,4.70000
-71.65720,-35.59500,2.10000
-71.76780,-35.61690,1.60000
-71.40220,-35.62420,2.70000
-71.26060,-35.63810,3.80000
-71.94610,-35.66140,1.80000
-71.07720,-35.70110,6.40000
-71.11390,-35.70610,5.20000
-72.18690,-35.78250,1.70000
-71.76640,-35.78560,2.00000
-71.59530,-35.83810,2.30000
-71.06670,-35.85000,5.70000
-71.11720,-35.86720,5.70000
-71.01920,-35.88420,3.90000
-72.37360,-35.89670,2.50000
-71.29810,-35.90860,4.00000
-71.29580,-35.91060,4.20000
-71.68420,-35.94780,2.50000
-71.91220,-35.98440,1.80000
-72.08920,-36.05720,1.90000
-71.39080,-36.07580,4.00000
-71.61560,-36.11280,2.80000
-72.42140,-36.11280,2.20000
-71.82830,-36.18780,2.50000
-71.45690,-36.23030,3.90000
-72.34280,-36.23530,2.20000
-71.54810,-36.25580,4.10000
-71.41420,-36.28500,5.70000
-72.04000,-36.31830,2.40000
-71.64940,-36.35810,3.90000
-71.62330,-36.37580,2.30000
-72.39440,-36.42140,2.30000
-72.69110,-36.46690,1.80000
-72.68830,-36.47500,2.30000
-72.93110,-36.54560,2.70000
-71.52470,-36.58360,4.80000
-71.52560,-36.58560,3.60000
-72.10030,-36.59670,2.00000
-72.10000,-36.61470,2.80000
-72.12670,-36.63190,2.80000
-72.84890,-36.63640,3.80000
-72.95030,-36.63940,2.50000
-71.79890,-36.64080,3.90000
-71.39500,-36.65110,6.40000
-72.45610,-36.65440,2.70000
-71.32780,-36.65830,5.50000
-71.29890,-36.67310,5.60000
-72.57940,-36.70780,2.50000
-72.42390,-36.76220,2.80000
-72.89220,-36.79250,2.80000
-71.66080,-36.80000,4.70000
-72.93920,-36.81310,3.10000
-71.89440,-36.81890,4.00000
-73.01640,-36.82030,2.70000
-73.10000,-36.83330,3.10000
-73.06190,-36.83860,2.60000
-71.64250,-36.86860,5.70000
-71.47920,-36.91080,5.70000
-71.58140,-36.91750,6.40000
-71.57560,-36.92440,4.80000
-71.57560,-36.92470,6.30000
-72.35280,-36.93190,2.80000
-72.10080,-36.97640,3.30000
-71.76500,-37.11140,4.90000
-72.06690,-37.15280,3.80000
-73.24310,-37.25530,3.30000
-72.71640,-37.27720,2.80000
-71.82280,-37.28060,4.60000
-71.98360,-37.28360,3.30000
-71.95190,-37.29360,4.20000
-72.36610,-37.38060,2.90000
-72.32720,-37.45610,2.30000
-73.33170,-37.48500,5.10000
-73.34420,-37.48780,4.80000
-72.40830,-37.50220,2.90000
-71.76560,-37.50810,5.40000
-72.33220,-37.53360,2.90000
-72.31190,-37.54220,2.50000
-72.59030,-37.55030,1.90000
-72.32060,-37.58580,3.10000
-72.27690,-37.59530,3.10000
-71.71360,-37.65110,5.70000
-72.00580,-37.68500,4.10000
-71.90170,-37.71060,4.30000
-72.24360,-37.71470,3.40000
-72.63720,-37.77940,3.00000
-71.86640,-37.77970,5.70000
-73.39140,-37.79830,3.40000
-73.39220,-37.81310,3.10000
-72.65000,-37.81720,2.40000
-72.96060,-37.82330,4.10000
-72.21970,-37.83060,4.40000
-71.98670,-37.88000,6.50000
-71.59610,-37.91830,8.40000
-72.42560,-37.95830,3.60000
-72.43610,-37.96470,2.50000
-71.99720,-37.99720,5.90000
-73.23000,-38.01860,3.90000
-73.00670,-38.02140,2.60000
-72.46110,-38.04420,3.50000
-71.43440,-38.05830,5.70000
-72.11360,-38.10530,5.40000
-72.90390,-38.16360,2.80000
-71.29890,-38.20080,4.90000
-71.81060,-38.21560,8.30000
-72.22890,-38.24610,4.00000
-72.65360,-38.25610,2.80000
-73.49220,-38.34330,4.90000
-72.77720,-38.41330,2.50000
-72.37750,-38.42110,3.40000
-72.01060,-38.42500,4.10000
-72.01060,-38.43030,4.20000
-71.89610,-38.44750,4.50000
-71.37420,-38.45360,3.90000
-71.69920,-38.46310,6.50000
-72.38670,-38.46420,3.40000
-71.57530,-38.47030,5.70000
-73.24080,-38.49420,4.70000
-72.45220,-38.51860,3.40000
-72.84560,-38.60390,2.60000
-72.84780,-38.60810,1.90000
-71.09190,-38.65170,2.30000
-72.23390,-38.66720,4.50000
-72.00000,-38.68390,6.00000
-72.50280,-38.68670,2.90000
-72.55580,-38.71280,3.20000
-73.14750,-38.71280,2.80000
-72.59280,-38.72830,3.40000
-72.59000,-38.74250,2.30000
-72.95060,-38.77750,2.30000
-72.94690,-38.78000,2.30000
-73.39360,-38.78860,3.10000
-71.55000,-38.85060,5.80000
-72.01250,-38.92690,5.00000
-72.62060,-38.95530,4.40000
-72.20060,-38.95860,5.40000
-72.60830,-38.95920,4.00000
-72.62640,-38.96670,4.40000
-72.06670,-39.00060,5.50000
-73.08280,-39.01440,3.50000
-73.07810,-39.02780,3.90000
-72.65030,-39.15060,5.90000
-71.72310,-39.16670,8.00000
-71.80890,-39.20000,8.60000
-73.20030,-39.20060,5.70000
-72.29170,-39.21500,5.80000
-71.83560,-39.23670,9.70000
-71.95030,-39.27530,5.80000
-71.93330,-39.30060,5.80000
-71.80830,-39.33140,9.20000
-71.57440,-39.35810,6.90000
-72.64170,-39.37000,5.10000
-72.16530,-39.46810,6.60000
-72.23390,-39.48750,6.50000
-71.54780,-39.51920,9.00000
-72.15190,-39.54690,5.70000
-72.89890,-39.55220,4.10000
-72.00530,-39.57440,7.50000
-72.74220,-39.70780,4.90000
-71.85060,-39.72720,7.00000
-72.45810,-39.77310,6.20000
-73.25170,-39.81030,5.90000
-71.98720,-39.81890,9.30000
-73.17860,-39.85610,5.40000
-71.88890,-39.87190,11.30000
-71.88970,-39.87470,10.90000
-71.72190,-40.02250,7.00000
-72.61690,-40.06720,4.80000
-73.16890,-40.16580,5.00000
-73.43110,-40.19330,11.10000
-72.14920,-40.21720,8.10000
-73.43330,-40.31420,4.80000
-72.46920,-40.31720,5.30000
-73.10690,-40.58830,3.40000
-72.18440,-40.65530,6.00000
-73.22780,-40.71360,3.70000
-72.44000,-40.72310,4.70000
-72.68390,-40.77330,4.50000
-72.68890,-40.78890,4.20000
-73.13720,-40.93670,3.60000
-73.06110,-41.12670,4.10000
-73.41110,-41.15330,4.40000
-72.56810,-41.22690,6.70000
-72.59580,-41.41720,8.30000
