"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Eslovenia","SVN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1162","","","","","1162","","","","","1162","","","","","1162","","","","","1162","","1162","","","","",
"Suecia","SWE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","","","","624","","624","","","","",
"Eswatini","SWZ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","","","","788","","788","","","","",
"Sint Maarten (Dutch part)","SXM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","","","","2330","","2330","","","","",
"República Árabe Siria","SYR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","","","","252","","252","","","","",
"Islas Turcas y Caicos","TCA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","","","","322","","322","","","","",
"Asia oriental y el Pacífico (BIRF y la AIF)","TEA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (BIRF y la AIF)","TEC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","","","","1168","","1168","","","","",
"Tailandia","THA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","","","","1622","","1622","","","","",
"Tayikistán","TJK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691","","","","","691","","","","","691","","","","","691","","","","","691","","691","","","","",
"Turkmenistán","TKM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","","","","","161","","","","","161","","","","","161","","","","","161","","161","","","","",
"América Latina y el Caribe (BIRF y la AIF)","TLA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","","","","1500","","1500","","","","",
"Oriente Medio y Norte de África (BIRF y la AIF)","TMN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tonga","TON","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia meridional (BIRF y la AIF)","TSA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"África al sur del Sahara (BIRF y la AIF)","TSS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Trinidad y Tobago","TTO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","2200","","","","",
"Túnez","TUN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","","","","207","","207","","","","",
"Turquía","TUR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","","","","593","","593","","","","",
"Tuvalu","TUV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","","","","","161","","","","","161","","","","","161","","","","","161","","","","","","",
"Tanzanía","TZA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","","","","1071","","1071","","","","",
"Uganda","UGA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","","","","1180","","1180","","","","",
"Ucrania","UKR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565","","","","","565","","","","","565","","","","","565","","","","","565","","565","","","","",
"Ingreso mediano alto","UMC","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Uruguay","URY","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","","","","1300","","1300","","","","",
"Estados Unidos","USA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","","","","715","","715","","","","",
"Uzbekistán","UZB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","206","","","","","206","","","","","206","","","","","206","","206","","","","",
"San Vicente y las Granadinas","VCT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","1583","","","","",
"Venezuela","VEN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","","","","2044","","2044","","","","",
"Islas Vírgenes Británicas","VGB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Vírgenes (EE.UU.)","VIR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","","","","1821","","1821","","","","",
"Vanuatu","VUT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","206","","","","","206","","","","","206","","","","","206","","","","","","",
"Mundo","WLD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Samoa","WSM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","1583","","","","","","",
"Kosovo","XKX","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep. del","YEM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","","","","167","","167","","","","",
"Sudáfrica","ZAF","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","","","","495","","495","","","","",
"Zambia","ZMB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","","","","1020","","1020","","","","",
"Zimbabwe","ZWE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","","","","657","","657","","","","",
