"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Chile","CHL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","1522","","","","",
"China","CHN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","645","","","","",
"Côte d'Ivoire","CIV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","1348","","","","",
"Camerún","CMR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","1604","","","","",
"Congo, República Democrática del","COD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","1543","","","","",
"Congo, República del","COG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","1646","","","","",
"Colombia","COL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","3240","","","","",
"Comoras","COM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","900","","","","",
"Cabo Verde","CPV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","228","","","","",
"Costa Rica","CRI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","2926","","","","",
"Estados pequeos del Caribe","CSS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","1335","","","","",
"Curacao","CUW","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","498","","","","",
"República Checa","CZE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","677","","","","","677","","","","","677","","","","","677","","677","","","","",
"Alemania","DEU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","700","","","","",
"Djibouti","DJI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","220","","","","",
"Dominica","DMA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","2083","","","","",
"Dinamarca","DNK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","703","","","","",
"República Dominicana","DOM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","1410","","","","",
"Argelia","DZA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","89","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","2274","","","","",
